state,fossil_mwh,solar_mwh,wind_mwh,other_mwh
Alabama,6766571.601196444,336712.5150224431,0.0,2472001.7880426836
Alaska,99782929.85416378,11673016.71337222,11981852.490721278,39161256.075202264
Arizona,763385.9752386676,205225.36378281272,51698.78101577356,10018.12016366385
Arkansas,6822680.107068138,90540.83438929962,3144686.804886166,965372.7931333571
California,4028545.1222189274,2097297.2275760444,585943.5155438144,1997504.9436247568
Colorado,869042.3187894084,168210.78696148915,489822.68107325485,12506.405272419506
Connecticut,2606899.5330770775,86040.37380014328,120365.9011649858,1489574.7409972625
Delaware,19028118.970373716,1088283.7317008248,488525.2849210025,11207825.940358737
Florida,1945674.4212115475,209924.5958355848,0.0,32815.67257808114
Georgia,6766571.601196444,336712.5150224431,0.0,2472001.7880426836
Hawaii,99782929.85416378,11673016.71337222,11981852.490721278,39161256.075202264
Idaho,279524.93210915313,13799.526324630817,169229.9985071324,1714244.2973151738
Illinois,16370129.054463092,1371442.5760535765,2104981.9319012994,3832951.107247249
Indiana,16370129.054463092,1371442.5760535765,2104981.9319012994,3832951.107247249
Iowa,16370129.054463092,1371442.5760535765,2104981.9319012994,3832951.107247249
Kansas,6822680.107068138,90540.83438929962,3144686.804886166,965372.7931333571
Kentucky,99782929.85416378,11673016.71337222,11981852.490721278,39161256.075202264
Louisiana,99782929.85416378,11673016.71337222,11981852.490721278,39161256.075202264
Maine,2606899.5330770775,86040.37380014328,120365.9011649858,1489574.7409972625
Maryland,19028118.970373716,1088283.7317008248,488525.2849210025,11207825.940358737
Massachusetts,2606899.5330770775,86040.37380014328,120365.9011649858,1489574.7409972625
Michigan,16370129.054463092,1371442.5760535765,2104981.9319012994,3832951.107247249
Minnesota,16370129.054463092,1371442.5760535765,2104981.9319012994,3832951.107247249
Mississippi,6766571.601196444,336712.5150224431,0.0,2472001.7880426836
Missouri,16370129.054463092,1371442.5760535765,2104981.9319012994,3832951.107247249
Montana,279524.93210915313,13799.526324630817,169229.9985071324,1714244.2973151738
Nebraska,6822680.107068138,90540.83438929962,3144686.804886166,965372.7931333571
Nevada,978489.220487794,358726.77915903693,8184.54763109768,140215.3411926715
New Hampshire,2606899.5330770775,86040.37380014328,120365.9011649858,1489574.7409972625
New Jersey,19028118.970373716,1088283.7317008248,488525.2849210025,11207825.940358737
New Mexico,180957.86830388627,168989.52243727059,132615.9008932759,584.0161506285658
New York,2944105.5065172995,0.0,132878.29209029445,2234653.0023196233
North Carolina,2198715.807454281,87288.40137372023,0.0,2172566.666941303
North Dakota,16370129.054463092,1371442.5760535765,2104981.9319012994,3832951.107247249
Ohio,19028118.970373716,1088283.7317008248,488525.2849210025,11207825.940358737
Oklahoma,6822680.107068138,90540.83438929962,3144686.804886166,965372.7931333571
Oregon,279524.93210915313,13799.526324630817,169229.9985071324,1714244.2973151738
Pennsylvania,19028118.970373716,1088283.7317008248,488525.2849210025,11207825.940358737
Rhode Island,2606899.5330770775,86040.37380014328,120365.9011649858,1489574.7409972625
South Carolina,613200.0714612354,108435.93166225338,0.0,376379.5395072945
South Dakota,16370129.054463092,1371442.5760535765,2104981.9319012994,3832951.107247249
Tennessee,2857448.34073426,85389.80169243495,0.0,3236235.6417291868
Texas,12144703.725596443,3154768.277320908,3173400.196508817,1563320.798064398
Utah,0.0,41237.65098347044,39306.69012982652,52337.891251793764
Vermont,2606899.5330770775,86040.37380014328,120365.9011649858,1489574.7409972625
Virginia,19028118.970373716,1088283.7317008248,488525.2849210025,11207825.940358737
Washington,279524.93210915313,13799.526324630817,169229.9985071324,1714244.2973151738
West Virginia,19028118.970373716,1088283.7317008248,488525.2849210025,11207825.940358737
Wisconsin,16370129.054463092,1371442.5760535765,2104981.9319012994,3832951.107247249
Wyoming,942240.6147328132,70624.80638891645,113024.37315680186,193093.25395173166
